u0, u1, u2, u3, u4, u5, u6, u7, u8, u9, sk0, sk1, sk2, sk3, st0, st1, st2, st3, st4, st5, r1, r2, r3, r4, r5, r6, r7, r8, r9, r10, r11, r12, r13, r14, r15, r16, r17, r18, r19, r20, r21, r22, r23, r24, r25, r26
0x0,0x0,0x0,0x2,0x0,0x0,0x4,0x0,0x2d,0xd,59,64,137,0,16,10,13,8,20,16,1,1,1,0,0,0,2,2,2,2,2,2,2,2,3,2,2,1,0,1,0,0,0,0,0,0,0,
0x4f,0x0,0x0,0x2,0x0,0x0,0x3,0x0,0x23,0xa,78,139,158,0,17,1,17,4,17,8,0,0,0,0,0,0,2,2,2,2,2,2,3,3,2,2,0,0,0,0,0,1,1,1,1,1,0,
0x41,0x0,0x0,0x2,0x1,0x0,0x4,0x1,0x23,0xa,72,98,153,0,13,2,11,11,24,8,0,0,0,1,1,0,2,2,2,2,2,2,2,2,2,2,0,0,0,0,0,1,1,1,1,1,0,
0x44,0x0,0x0,0x2,0x0,0x0,0x4,0x0,0x32,0xb,39,96,113,0,13,11,8,14,17,17,0,0,0,1,1,0,2,2,2,3,3,2,2,2,2,2,0,0,0,0,0,1,1,1,0,0,2,
0x4b,0x0,0x0,0x2,0x0,0x0,0x3,0x0,0x23,0x8,16,35,78,0,11,10,17,20,20,8,0,0,0,0,0,0,2,3,2,2,3,2,2,2,2,2,0,0,1,1,1,0,0,0,1,1,2,
0x4e,0x0,0x0,0x2,0x0,0x0,0x4,0x0,0x28,0xf,22,37,86,0,14,1,15,14,20,14,1,1,1,1,1,1,2,2,3,2,2,2,2,2,3,2,1,0,0,1,0,0,0,0,0,0,0,
0x4e,0x0,0x0,0x2,0x0,0x0,0x4,0x0,0x2d,0xc,46,95,128,0,17,7,17,8,14,13,0,0,0,0,0,0,3,3,3,2,2,3,2,2,2,2,0,0,3,1,1,0,0,0,0,0,1,
0x4a,0x0,0x0,0x2,0x0,0x0,0x3,0x0,0x32,0xb,1,37,111,0,11,10,14,19,14,13,0,0,1,0,0,1,2,2,3,2,2,2,2,2,3,2,0,1,0,0,0,0,0,0,0,0,0,
0x48,0x0,0x0,0x2,0x0,0x0,0x4,0x0,0x28,0xa,37,104,127,1,10,16,8,22,14,9,0,0,0,0,0,1,2,2,2,2,2,2,2,2,2,2,0,1,0,0,0,0,0,0,0,0,2,
0x46,0x0,0x0,0x2,0x0,0x0,0x1,0x0,0x28,0x10,4,61,127,0,22,11,14,17,11,13,0,0,0,0,0,0,2,2,2,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,
0x46,0x0,0x0,0x2,0x0,0x0,0x3,0x0,0x32,0xb,22,25,37,0,11,15,11,11,20,18,0,0,0,1,1,0,2,2,2,3,3,2,2,2,2,2,0,0,0,0,0,1,2,2,0,0,0,
0x4e,0x0,0x0,0x2,0x0,0x0,0x5,0x0,0x23,0xa,78,104,144,0,25,1,18,13,20,13,0,0,0,0,0,0,2,2,3,2,2,2,3,3,3,2,0,0,0,1,0,1,1,1,1,1,0,
0x54,0x0,0x0,0x2,0x0,0x0,0x5,0x0,0x2d,0xb,106,111,148,3,13,10,14,23,16,14,0,0,1,0,0,2,2,2,3,2,2,2,2,2,3,2,0,2,0,0,1,0,0,0,0,0,0,
0x51,0x0,0x0,0x2,0x0,0x0,0x5,0x0,0x32,0xb,74,101,150,0,18,11,20,15,14,13,1,1,0,1,2,1,2,2,3,2,2,3,2,2,3,2,1,1,0,1,0,0,0,0,0,0,0,
0x57,0x0,0x0,0x3,0x0,0x0,0x4,0x0,0x23,0xa,125,141,162,0,15,7,14,8,21,15,0,0,0,0,0,0,2,2,2,2,2,2,3,3,2,2,0,0,0,0,0,2,1,1,2,1,1,
0x4c,0x0,0x0,0x2,0x0,0x0,0x6,0x0,0x2d,0xc,27,56,30,0,18,14,15,14,20,15,1,1,1,1,1,1,3,2,3,2,2,3,3,3,3,2,1,1,1,1,1,1,1,1,1,1,1,
0x67,0x0,0x0,0x1,0x0,0x1,0x6,0x0,0x14,0x19,1,16,19,0,0,30,11,30,31,13,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1,3,3,3,3,3,0,0,0,3,0,3,
0xc8,0x0,0x0,0x1,0x0,0x1,0x6,0x0,0x23,0x1b,4,7,21,0,0,30,14,31,31,15,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3,3,3,3,3,0,0,0,3,0,3,
0xbc,0x2,0x0,0x3,0x0,0x0,0x6,0x0,0x2d,0x9,92,97,147,0,18,11,18,11,20,15,1,1,1,0,0,1,3,2,3,2,2,3,3,3,3,2,1,1,0,1,0,2,2,2,2,2,1,
0x67,0x0,0x0,0x2,0x0,0x0,0x5,0x0,0x28,0xe,27,113,139,0,15,20,19,9,14,15,1,1,0,0,0,0,2,2,2,2,2,2,2,2,2,2,1,2,0,0,0,0,0,0,0,0,1,
0x4e,0x0,0x0,0x2,0x0,0x0,0x4,0x0,0x28,0x11,52,143,161,0,10,12,8,19,20,17,1,1,1,1,0,1,1,2,2,2,2,2,2,2,2,2,1,1,1,1,1,0,0,0,0,0,1,
0x55,0x0,0x0,0x2,0x1,0x0,0x5,0x1,0x23,0x10,47,156,160,2,9,20,11,13,12,22,0,0,0,0,0,0,2,2,2,2,2,2,2,2,2,2,0,0,0,0,2,2,2,2,1,0,0,
0x52,0x0,0x0,0x1,0x0,0x1,0x6,0x0,0x37,0x1d,13,53,63,0,0,31,15,31,31,18,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3,3,3,3,3,0,0,0,3,1,3,
0x84,0x3,0x0,0x1,0x0,0x0,0x6,0x0,0x46,0x1f,60,62,129,3,0,31,19,31,31,18,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3,3,3,3,3,1,1,1,3,2,3,
0x9c,0x0,0x0,0x2,0x0,0x0,0x6,0x0,0x50,0x1e,32,138,166,2,25,29,27,31,6,31,3,3,3,3,3,3,1,1,3,3,3,3,3,3,3,2,3,3,3,2,3,2,2,2,2,3,2,
0xa7,0x0,0x0,0x2,0x0,0x0,0x1,0x0,0x28,0x4,21,53,60,0,8,13,11,19,11,20,1,1,1,2,1,2,1,2,3,1,0,3,0,0,0,0,2,1,2,2,2,2,2,2,1,1,3,
0x4d,0x0,0x0,0x0,0x0,0x0,0x7,0x0,0x0,0x0,255,255,255,0,0,0,0,0,0,0,1,1,0,0,0,0,2,2,2,2,2,2,3,3,2,2,2,2,0,0,0,1,1,1,1,1,2,
0x0,0x0,0x1,0x2,0x0,0x0,0x4,0x0,0x1e,0x7,64,113,149,0,10,3,17,2,5,5,1,2,2,0,0,2,1,1,1,1,1,1,1,1,3,1,2,0,0,0,0,0,0,0,0,0,0,
0x30,0x0,0x1,0x2,0x0,0x0,0x4,0x0,0x23,0x11,53,54,74,3,15,11,18,6,7,13,2,2,2,0,0,0,0,0,0,0,0,0,1,1,2,0,2,1,0,0,0,1,1,1,1,1,1,
0x3f,0x0,0x1,0x2,0x1,0x0,0x3,0x1,0x23,0x10,4,72,153,2,14,11,18,2,20,4,2,2,2,1,1,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,1,1,1,1,1,0,
0x3a,0x0,0x1,0x2,0x1,0x0,0x4,0x1,0x32,0x12,21,32,110,2,17,15,13,11,7,18,2,2,2,1,1,0,0,0,0,1,1,0,0,0,2,0,2,0,0,0,0,1,1,1,0,0,0,
